"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.133.24.19","142.250.190.74","TCP","54","48360  >  443 [RST, ACK] Seq=1 Ack=1 Win=133 Len=0"
"2","0.000989","10.133.24.19","3.90.122.13","TCP","54","48432  >  443 [FIN, ACK] Seq=1 Ack=1 Win=150 Len=0"
"3","0.001058","3.90.122.13","10.133.24.19","TCP","54","443  >  48432 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"4","0.001088","3.90.122.13","10.133.24.19","TCP","54","443  >  48432 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"5","0.001094","10.133.24.19","3.90.122.13","TCP","54","48432  >  443 [RST] Seq=2 Win=0 Len=0"
"6","0.002108","10.133.24.19","54.192.58.91","TCP","54","40790  >  443 [RST, ACK] Seq=1 Ack=1 Win=1206 Len=0"
"7","0.002123","10.133.24.19","54.192.58.91","TCP","54","40792  >  443 [RST, ACK] Seq=1 Ack=1 Win=258 Len=0"
"8","0.003528","10.133.24.19","172.217.4.196","TCP","54","43074  >  443 [FIN, ACK] Seq=1 Ack=1 Win=150 Len=0"
"9","0.003595","172.217.4.196","10.133.24.19","TCP","54","443  >  43074 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"10","0.003624","172.217.4.196","10.133.24.19","TCP","54","443  >  43074 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"11","0.003630","10.133.24.19","172.217.4.196","TCP","54","43074  >  443 [RST] Seq=2 Win=0 Len=0"
"12","0.003936","10.8.0.1","34.98.74.57","TCP","74","40390  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2240169199 TSecr=0 WS=512"
"13","0.004683","34.98.74.57","10.8.0.1","TCP","54","443  >  40390 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"14","0.004697","10.133.24.19","104.70.164.33","TCP","54","41686  >  443 [RST, ACK] Seq=1 Ack=1 Win=156 Len=0"
"15","0.004700","10.8.0.1","34.98.74.57","TCP","54","40390  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"16","0.009440","10.8.0.1","34.98.74.57","TCP","590","40390  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"17","0.009831","34.98.74.57","10.8.0.1","TCP","54","443  >  40390 [ACK] Seq=1 Ack=537 Win=65535 Len=0"
"18","0.009846","10.8.0.1","34.98.74.57","TLSv1.3","72","Client Hello"
"19","0.009872","34.98.74.57","10.8.0.1","TCP","54","443  >  40390 [ACK] Seq=1 Ack=555 Win=65535 Len=0"
"20","0.013785","10.8.0.1","157.240.26.55","TCP","74","47642  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1303496607 TSecr=0 WS=512"
"21","0.014280","157.240.26.55","10.8.0.1","TCP","54","5222  >  47642 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"22","0.014327","10.8.0.1","157.240.26.55","TCP","54","47642  >  5222 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"23","0.067691","34.98.74.57","10.8.0.1","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"24","0.067712","10.133.24.19","172.217.4.196","UDP","93","39615  >  443 Len=51"
"25","1.080262","10.8.0.1","104.70.164.33","TCP","74","38384  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2784651052 TSecr=0 WS=512"
"26","1.081595","104.70.164.33","10.8.0.1","TCP","54","443  >  38384 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"27","1.081625","10.8.0.1","157.240.26.55","TCP","58","47642  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=4 [TCP segment of a reassembled PDU]"
"28","1.081689","157.240.26.55","10.8.0.1","TCP","54","5222  >  47642 [ACK] Seq=1 Ack=5 Win=65535 Len=0"
"29","1.081701","10.8.0.1","34.98.74.57","TCP","54","40390  >  443 [ACK] Seq=555 Ack=213 Win=65535 Len=0"
"30","1.081782","10.8.0.1","44.225.120.180","TCP","74","43266  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1702518046 TSecr=0 WS=512"
"31","1.082476","44.225.120.180","10.8.0.1","TCP","54","443  >  43266 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"32","1.082493","10.8.0.1","35.165.233.216","TCP","74","43498  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1205061027 TSecr=0 WS=512"
"33","1.083545","35.165.233.216","10.8.0.1","TCP","54","443  >  43498 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"34","1.083570","10.8.0.1","34.98.74.57","TLSv1.3","118","Change Cipher Spec, Application Data"
"35","1.083623","34.98.74.57","10.8.0.1","TCP","54","443  >  40390 [ACK] Seq=213 Ack=619 Win=65535 Len=0"
"36","1.083636","10.8.0.1","44.225.120.180","TCP","74","43270  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1702518049 TSecr=0 WS=512"
"37","1.084588","44.225.120.180","10.8.0.1","TCP","54","443  >  43270 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"38","1.084689","10.8.0.1","104.70.164.33","TCP","74","38392  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2784651078 TSecr=0 WS=512"
"39","1.085611","104.70.164.33","10.8.0.1","TCP","54","443  >  38392 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"40","1.085639","10.8.0.1","151.101.150.73","TCP","74","38638  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=4150479928 TSecr=0 WS=512"
"41","1.086584","151.101.150.73","10.8.0.1","TCP","54","443  >  38638 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"42","1.086614","10.8.0.1","151.101.150.73","TCP","74","38640  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=4150479929 TSecr=0 WS=512"
"43","1.087629","151.101.150.73","10.8.0.1","TCP","54","443  >  38640 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"44","1.087659","10.8.0.1","104.70.164.18","TCP","74","46056  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2760485825 TSecr=0 WS=512"
"45","1.089016","104.70.164.18","10.8.0.1","TCP","54","443  >  46056 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"46","1.089041","10.8.0.1","104.70.164.18","TCP","74","46058  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2760485825 TSecr=0 WS=512"
"47","1.091805","104.70.164.18","10.8.0.1","TCP","54","443  >  46058 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"48","1.091825","10.8.0.1","151.101.150.73","TCP","74","38646  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=4150479931 TSecr=0 WS=512"
"49","1.092585","151.101.150.73","10.8.0.1","TCP","54","443  >  38646 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
