"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.8.0.1","10.133.134.154","TCP","74","36968  >  http-alt(8008) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1672004880 TSecr=0 WS=1024"
"2","0.001662","10.133.134.154","10.8.0.1","TCP","54","http-alt(8008)  >  36968 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"3","0.001688","10.8.0.1","10.133.134.154","TCP","54","36968  >  http-alt(8008) [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"4","0.001859","10.8.0.1","10.133.134.154","HTTP","334","GET /ssdp/device-desc.xml HTTP/1.1 "
"5","0.001884","10.133.134.154","10.8.0.1","TCP","54","http-alt(8008)  >  36968 [ACK] Seq=1 Ack=281 Win=65535 Len=0"
"6","0.031115","10.133.27.50","ord38s17-in-f6.1e100.net","UDP","86","59971  >  https(443) Len=44"
"7","1.036804","10.133.27.50","ord37s22-in-f8.1e100.net","UDP","87","50603  >  https(443) Len=45"
"8","2.060112","10.133.27.50","ord37s28-in-f10.1e100.net","UDP","87","49027  >  https(443) Len=45"
"9","3.082362","10.133.27.50","mf-in-f102.1e100.net","UDP","90","36604  >  https(443) Len=48"
"10","4.107117","10.133.27.50","ord38s33-in-f10.1e100.net","UDP","90","43562  >  https(443) Len=48"
"11","5.131157","10.133.27.50","ord36s03-in-f12.1e100.net","UDP","88","60293  >  https(443) Len=46"
"12","6.157394","10.133.27.50","ord37s34-in-f14.1e100.net","UDP","86","47438  >  https(443) Len=44"
"13","7.180381","10.8.0.1","edge-mqtt-shv-01-msp1.facebook.com","TCP","74","48472  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=541843908 TSecr=0 WS=1024"
"14","7.184681","edge-mqtt-shv-01-msp1.facebook.com","10.8.0.1","TCP","54","https(443)  >  48472 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"15","7.184737","10.8.0.1","edge-star-shv-01-msp1.facebook.com","TCP","74","38206  >  http(80) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1146352652 TSecr=0 WS=1024"
"16","7.187264","edge-star-shv-01-msp1.facebook.com","10.8.0.1","TCP","54","http(80)  >  38206 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
