"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.133.1.154","guzzoni-apple-com.v.aaplimg.com","TLSv1.2","71","Encrypted Alert"
"2","1.001317","10.133.1.154","guzzoni-apple-com.v.aaplimg.com","TCP","40","57958  >  https(443) [FIN, ACK] Seq=32 Ack=1 Win=4096 Len=0"
"3","1.001814","guzzoni-apple-com.v.aaplimg.com","10.133.1.154","TCP","46","https(443)  >  57958 [ACK] Seq=1 Ack=32 Win=506 Len=0"
"4","1.002256","guzzoni-apple-com.v.aaplimg.com","10.133.1.154","TLSv1.2","77","Application Data"
"5","1.002448","guzzoni-apple-com.v.aaplimg.com","10.133.1.154","TCP","46","https(443)  >  57958 [FIN, ACK] Seq=38 Ack=33 Win=506 Len=0"
"6","1.002618","10.133.1.154","guzzoni-apple-com.v.aaplimg.com","TCP","40","57958  >  https(443) [RST] Seq=33 Win=0 Len=0"
"7","7.183956","10.133.19.21","10.133.1.154","NBNS","78","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"8","7.184284","10.133.1.154","10.133.19.21","ICMP","56","Destination unreachable (Port unreachable)"
"9","8.719649","10.133.19.21","10.133.1.154","NBNS","78","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"10","8.720103","10.133.1.154","10.133.19.21","ICMP","56","Destination unreachable (Port unreachable)"
"11","10.357486","10.133.19.21","10.133.1.154","NBNS","78","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"12","10.357721","10.133.1.154","10.133.19.21","ICMP","56","Destination unreachable (Port unreachable)"
"13","12.714620","N/A","N/A","N/A","28","Raw packet data"
"14","14.021823","169.254.242.102","224.0.0.251","MDNS","69","Standard query 0x0000 SRV ncm._remoted._tcp.local, ""QM"" question"
"15","14.022169","fe80::b3:9867:bfa0:51be","ff02::fb","MDNS","89","Standard query 0x0000 SRV ncm._remoted._tcp.local, ""QM"" question"
"16","15.022380","qrttxzy.local","224.0.0.251","MDNS","176","Standard query response 0x0000 SRV, cache flush 0 0 57144 qrttxzy.local AAAA, cache flush fe80::1833:75f9:cb29:169c A, cache flush 169.254.204.60 NSEC, cache flush qrttxzy.local NSEC, cache flush ncm._remoted._tcp.local"
"17","15.022900","qrttxzy.local","ff02::fb","MDNS","196","Standard query response 0x0000 SRV, cache flush 0 0 57144 qrttxzy.local AAAA, cache flush fe80::1833:75f9:cb29:169c A, cache flush 169.254.204.60 NSEC, cache flush qrttxzy.local NSEC, cache flush ncm._remoted._tcp.local"
"18","16.023392","10.133.1.154","ns1.its.carleton.edu","DNS","80","Standard query 0xc257 HTTPS configuration.apple.com.akadns.net"
"19","16.023638","10.133.1.154","ns1.its.carleton.edu","DNS","80","Standard query 0x066b A configuration.apple.com.akadns.net"
"20","16.023808","ns1.its.carleton.edu","10.133.1.154","DNS","227","Standard query response 0xc257 HTTPS configuration.apple.com.akadns.net CNAME configuration.apple.com.edgekey.net CNAME e673.dsce9.akamaiedge.net SOA n0dsce9.akamaiedge.net"
"21","16.023930","ns1.its.carleton.edu","10.133.1.154","DNS","510","Standard query response 0x066b A configuration.apple.com.akadns.net CNAME configuration.apple.com.edgekey.net CNAME e673.dsce9.akamaiedge.net A 23.35.200.54 NS n3dsce9.akamaiedge.net NS n5dsce9.akamaiedge.net NS n4dsce9.akamaiedge.net NS n2dsce9.akamaiedge.net NS n6dsce9.akamaiedge.net NS n1dsce9.akamaiedge.net NS n0dsce9.akamaiedge.net NS n7dsce9.akamaiedge.net A 184.30.41.7 A 23.42.159.36 A 23.42.159.15 A 23.42.158.134 A 88.221.81.192 A 23.42.159.22 A 23.220.96.101 A 23.42.159.44 AAAA 2600:1480:e800::c0"
"22","16.024026","10.133.1.154","e673.dsce9.akamaiedge.net","TCP","64","55314  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=175807318 TSecr=0 SACK_PERM=1"
"23","16.024121","e673.dsce9.akamaiedge.net","10.133.1.154","TCP","52","https(443)  >  55314 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1386 SACK_PERM=1 WS=128"
