"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","74","36000  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=809166777 TSecr=0 WS=1024"
"2","0.002553","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"3","0.002585","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","54","36000  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"4","0.009257","10.8.0.1","ord37s36-in-f10.1e100.net","TLSv1.3","571","Client Hello"
"5","0.009336","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"6","0.072503","10.8.0.1","104.244.42.66","TCP","74","33958  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1247186804 TSecr=0 WS=1024"
"7","0.073395","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"8","0.073414","10.8.0.1","104.244.42.66","TCP","54","33958  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"9","0.075406","10.8.0.1","104.244.42.66","TLSv1.3","571","Client Hello"
"10","0.075467","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"11","1.475746","ord37s36-in-f10.1e100.net","10.8.0.1","TLSv1.3","2850","Server Hello, Change Cipher Spec"
"12","1.527267","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","54","36000  >  443 [ACK] Seq=518 Ack=2797 Win=65535 Len=0"
"13","1.527600","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","1432","443  >  36000 [PSH, ACK] Seq=2797 Ack=518 Win=65535 Len=1378 [TCP segment of a reassembled PDU]"
"14","1.578629","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","54","36000  >  443 [ACK] Seq=518 Ack=4175 Win=65535 Len=0"
"15","1.578861","104.244.42.66","10.8.0.1","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"16","1.578894","10.8.0.1","104.244.42.66","TCP","54","33958  >  443 [ACK] Seq=518 Ack=213 Win=65535 Len=0"
"17","1.580675","10.8.0.1","104.244.42.66","TLSv1.3","118","Change Cipher Spec, Application Data"
"18","1.580820","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=213 Ack=582 Win=65535 Len=0"
"19","1.631992","10.8.0.1","104.244.42.66","TLSv1.3","100","Application Data"
"20","1.632246","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=213 Ack=628 Win=65535 Len=0"
"21","1.632281","10.8.0.1","104.244.42.66","TLSv1.3","590","Application Data, Application Data"
"22","1.632369","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=213 Ack=1164 Win=65535 Len=0"
"23","1.632423","10.8.0.1","104.244.42.66","TCP","590","33958  >  443 [ACK] Seq=1164 Ack=213 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"24","1.632512","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=213 Ack=1700 Win=65535 Len=0"
"25","1.632535","10.8.0.1","104.244.42.66","TCP","590","33958  >  443 [ACK] Seq=1700 Ack=213 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"26","1.632589","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=213 Ack=2236 Win=65535 Len=0"
"27","1.632610","10.8.0.1","104.244.42.66","TCP","590","33958  >  443 [PSH, ACK] Seq=2236 Ack=213 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"28","1.632659","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=213 Ack=2772 Win=65535 Len=0"
"29","1.632679","10.8.0.1","104.244.42.66","TLSv1.3","428","Application Data"
"30","1.632766","104.244.42.66","10.8.0.1","TCP","54","443  >  33958 [ACK] Seq=213 Ack=3146 Win=65535 Len=0"
"31","1.701186","ord37s36-in-f10.1e100.net","10.8.0.1","TLSv1.3","568","Application Data"
"32","1.752655","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","54","36000  >  443 [ACK] Seq=518 Ack=4689 Win=65535 Len=0"
"33","1.752732","10.8.0.1","ord37s36-in-f10.1e100.net","TLSv1.3","118","Change Cipher Spec, Application Data"
"34","1.752947","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=582 Win=65535 Len=0"
"35","1.752976","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=582 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"36","1.753052","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=1118 Win=65535 Len=0"
"37","1.753087","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=1118 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"38","1.753164","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=1654 Win=65535 Len=0"
"39","1.753185","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=1654 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"40","1.753221","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=2190 Win=65535 Len=0"
"41","1.753238","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=2190 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"42","1.753288","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=2726 Win=65535 Len=0"
"43","1.753306","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [PSH, ACK] Seq=2726 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"44","1.753358","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=3262 Win=65535 Len=0"
"45","1.753377","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=3262 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"46","1.753412","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=3798 Win=65535 Len=0"
"47","1.753439","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=3798 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"48","1.753483","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=4334 Win=65535 Len=0"
"49","1.753500","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=4334 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"50","1.753559","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=4870 Win=65535 Len=0"
"51","1.753579","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [PSH, ACK] Seq=4870 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"52","1.753632","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=5406 Win=65535 Len=0"
"53","1.753650","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=5406 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"54","1.753768","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=5942 Win=65535 Len=0"
"55","1.753796","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [PSH, ACK] Seq=5942 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"56","1.753841","ord37s36-in-f10.1e100.net","10.8.0.1","TCP","54","443  >  36000 [ACK] Seq=4689 Ack=6478 Win=65535 Len=0"
"57","1.753859","10.8.0.1","ord37s36-in-f10.1e100.net","TCP","590","36000  >  443 [ACK] Seq=6478 Ack=4689 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
