"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","66","50064  >  443 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=259921772 TSecr=2549662120"
"2","0.000043","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","66","50062  >  443 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=259921772 TSecr=1045600958"
"3","0.000049","10.81.92.15","ord38s32-in-f10.1e100.net","TLSv1","611","Client Hello"
"4","0.000054","10.81.92.15","ord38s32-in-f10.1e100.net","TLSv1","611","Client Hello"
"5","0.358128","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","611","[TCP Retransmission] 50062  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64 Len=545 TSval=259922132 TSecr=1045600958"
"6","0.378947","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","611","[TCP Retransmission] 50064  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64 Len=545 TSval=259922152 TSecr=2549662120"
"7","0.794032","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","611","[TCP Retransmission] 50064  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64 Len=545 TSval=259922568 TSecr=2549662120"
"8","0.794099","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","611","[TCP Retransmission] 50062  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64 Len=545 TSval=259922568 TSecr=1045600958"
"9","1.073526","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","66","[TCP Dup ACK 2#1] 50062  >  443 [ACK] Seq=546 Ack=1 Win=64 Len=0 TSval=259922846 TSecr=1045600958"
"10","1.073607","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","66","[TCP Dup ACK 1#1] 50064  >  443 [ACK] Seq=546 Ack=1 Win=64 Len=0 TSval=259922846 TSecr=2549662120"
"11","1.627202","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","611","[TCP Retransmission] 50062  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64 Len=545 TSval=259923400 TSecr=1045600958"
"12","1.627300","10.81.92.15","ord38s32-in-f10.1e100.net","TCP","611","[TCP Retransmission] 50064  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64 Len=545 TSval=259923401 TSecr=2549662120"
"13","2.124660","10.8.0.1","gh-in-f188.1e100.net","TCP","74","52968  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2828402521 TSecr=0 WS=1024"
"14","2.128357","gh-in-f188.1e100.net","10.8.0.1","TCP","54","5228  >  52968 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"15","2.128403","10.8.0.1","gh-in-f188.1e100.net","TCP","54","52968  >  5228 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
