"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.8.0.1","231.176.107.34.bc.googleusercontent.com","TCP","74","35738  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=745822446 TSecr=0 WS=1024"
"2","0.001478","231.176.107.34.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  35738 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"3","0.001503","10.8.0.1","231.176.107.34.bc.googleusercontent.com","TCP","54","35738  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"4","0.002606","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TCP","74","53860  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=719700881 TSecr=0 WS=1024"
"5","0.003533","103.140.107.34.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  53860 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"6","0.003562","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TCP","54","53860  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"7","0.006071","10.81.92.15","199.232.6.73","TCP","66","41770  >  443 [FIN, ACK] Seq=1 Ack=1 Win=66 Len=0 TSval=955407219 TSecr=1526675971"
"8","0.006176","199.232.6.73","10.81.92.15","TCP","54","443  >  41770 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"9","0.006217","199.232.6.73","10.81.92.15","TCP","54","443  >  41770 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"10","0.006226","10.81.92.15","199.232.6.73","TCP","66","41770  >  443 [ACK] Seq=2 Ack=2 Win=66 Len=0 TSval=955407219 TSecr=1526675971"
"11","0.010362","10.8.0.1","231.176.107.34.bc.googleusercontent.com","TCP","590","35738  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"12","0.010438","231.176.107.34.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  35738 [ACK] Seq=1 Ack=537 Win=65535 Len=0"
"13","0.010449","10.8.0.1","231.176.107.34.bc.googleusercontent.com","TLSv1","127","Client Hello"
"14","0.010486","231.176.107.34.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  35738 [ACK] Seq=1 Ack=610 Win=65535 Len=0"
"15","0.011004","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TCP","590","53860  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"16","0.011023","103.140.107.34.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  53860 [ACK] Seq=1 Ack=537 Win=65535 Len=0"
"17","0.011029","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TLSv1","123","Client Hello"
