"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.89.90.233","ord38s32-in-f6.1e100.net","UDP","92","46714  >  443 Len=50"
"2","1.005332","10.89.90.233","ord37s34-in-f2.1e100.net","UDP","92","41756  >  443 Len=50"
"3","2.029698","10.8.0.1","147.92.191.123","TCP","74","34134  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=676783532 TSecr=0 WS=1024"
"4","2.033261","147.92.191.123","10.8.0.1","TCP","54","443  >  34134 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"5","2.033301","10.8.0.1","147.92.191.123","TCP","74","[TCP Retransmission] 34134  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=676784553 TSecr=0 WS=1024"
"6","2.034541","147.92.191.123","10.8.0.1","TCP","54","[TCP Out-Of-Order] 443  >  34134 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"7","2.034563","10.8.0.1","time.cloudflare.com","NTP","90","NTP Version 3, client"
"8","2.146460","time.cloudflare.com","10.8.0.1","NTP","90","NTP Version 3, server"
"9","2.146495","10.8.0.1","52.168.112.67","TCP","74","42944  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3091872341 TSecr=0 WS=1024"
"10","2.148359","52.168.112.67","10.8.0.1","TCP","54","443  >  42944 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"11","2.148393","10.8.0.1","147.92.191.123","TCP","54","34134  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"12","2.148401","10.8.0.1","147.92.191.123","TCP","54","[TCP Dup ACK 11#1] 34134  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"13","2.148409","10.8.0.1","147.92.191.123","TLSv1.2","571","Client Hello"
"14","2.148438","147.92.191.123","10.8.0.1","TCP","54","443  >  34134 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"15","2.148445","10.8.0.1","52.168.112.67","TCP","54","42944  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"16","2.151552","10.8.0.1","52.168.112.67","TLSv1.2","571","Client Hello"
"17","2.151638","52.168.112.67","10.8.0.1","TCP","54","443  >  42944 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"18","2.360767","52.168.112.67","10.8.0.1","TCP","1432","443  >  42944 [PSH, ACK] Seq=1 Ack=518 Win=65535 Len=1378 [TCP segment of a reassembled PDU]"
"19","2.410946","10.8.0.1","52.168.112.67","TCP","54","42944  >  443 [ACK] Seq=518 Ack=1379 Win=65535 Len=0"
"20","2.411128","52.168.112.67","10.8.0.1","TCP","2810","443  >  42944 [PSH, ACK] Seq=1379 Ack=518 Win=65535 Len=2756 [TCP segment of a reassembled PDU]"
"21","2.461306","10.8.0.1","52.168.112.67","TCP","54","42944  >  443 [ACK] Seq=518 Ack=4135 Win=65535 Len=0"
"22","2.461498","52.168.112.67","10.8.0.1","TCP","1432","443  >  42944 [PSH, ACK] Seq=4135 Ack=518 Win=65535 Len=1378 [TCP segment of a reassembled PDU]"
"23","2.511666","10.8.0.1","52.168.112.67","TCP","54","42944  >  443 [ACK] Seq=518 Ack=5513 Win=65535 Len=0"
"24","2.511878","147.92.191.123","10.8.0.1","TLSv1.2","5448","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25","2.511979","52.168.112.67","10.8.0.1","TLSv1.2","716","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"26","2.511989","10.8.0.1","147.92.191.123","TCP","54","34134  >  443 [ACK] Seq=518 Ack=5395 Win=67107840 Len=0"
"27","2.511997","10.8.0.1","52.168.112.67","TCP","54","42944  >  443 [ACK] Seq=518 Ack=6175 Win=65535 Len=0"
"28","2.527744","10.8.0.1","147.92.191.123","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"29","2.527829","147.92.191.123","10.8.0.1","TCP","54","443  >  34134 [ACK] Seq=5395 Ack=644 Win=65535 Len=0"
"30","2.595435","10.8.0.1","52.168.112.67","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"31","2.595539","52.168.112.67","10.8.0.1","TCP","54","443  >  42944 [ACK] Seq=6175 Ack=676 Win=65535 Len=0"
"32","2.683611","52.168.112.67","10.8.0.1","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"33","2.733774","10.8.0.1","52.168.112.67","TCP","54","42944  >  443 [ACK] Seq=676 Ack=6226 Win=65535 Len=0"
"34","2.733956","147.92.191.123","10.8.0.1","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"35","2.733973","10.8.0.1","52.168.112.67","TCP","590","42944  >  443 [ACK] Seq=676 Ack=6226 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"36","2.734032","52.168.112.67","10.8.0.1","TCP","54","443  >  42944 [ACK] Seq=6226 Ack=1212 Win=65535 Len=0"
"37","2.734040","10.8.0.1","52.168.112.67","TCP","590","42944  >  443 [PSH, ACK] Seq=1212 Ack=6226 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"38","2.734058","52.168.112.67","10.8.0.1","TCP","54","443  >  42944 [ACK] Seq=6226 Ack=1748 Win=65535 Len=0"
"39","2.734064","10.8.0.1","52.168.112.67","TLSv1.2","409","Application Data"
"40","2.734078","52.168.112.67","10.8.0.1","TCP","54","443  >  42944 [ACK] Seq=6226 Ack=2103 Win=65535 Len=0"
"41","2.734170","10.8.0.1","147.92.191.123","TCP","54","34134  >  443 [ACK] Seq=644 Ack=5669 Win=67107840 Len=0"
"42","2.736568","10.8.0.1","147.92.191.123","TCP","590","34134  >  443 [ACK] Seq=644 Ack=5669 Win=67107840 Len=536 [TCP segment of a reassembled PDU]"
"43","2.736626","147.92.191.123","10.8.0.1","TCP","54","443  >  34134 [ACK] Seq=5669 Ack=1180 Win=65535 Len=0"
"44","2.736637","10.8.0.1","147.92.191.123","TLSv1.2","339","Application Data"
"45","2.736655","147.92.191.123","10.8.0.1","TCP","54","443  >  34134 [ACK] Seq=5669 Ack=1465 Win=65535 Len=0"
"46","2.786844","10.8.0.1","147.92.191.123","TLSv1.2","88","Application Data"
"47","2.786978","147.92.191.123","10.8.0.1","TCP","54","443  >  34134 [ACK] Seq=5669 Ack=1499 Win=65535 Len=0"
"48","2.974016","52.168.112.67","10.8.0.1","TLSv1.2","461","Application Data"
