"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.000030","N/A","N/A","N/A","42","Raw packet data"
"3","0.000048","N/A","N/A","N/A","42","Raw packet data"
"4","0.000065","e673.dsce9.akamaiedge.net","iPhone.local","TLSv1.2","64","Application Data"
"5","0.000114","iPhone.local","e673.dsce9.akamaiedge.net","TCP","40","52764  >  https(443) [RST] Seq=1 Win=0 Len=0"
"6","0.000146","N/A","N/A","N/A","42","Raw packet data"
"7","0.000252","N/A","N/A","N/A","42","Raw packet data"
"8","0.000413","N/A","N/A","N/A","42","Raw packet data"
"9","0.000435","N/A","N/A","N/A","42","Raw packet data"
"10","0.000452","N/A","N/A","N/A","42","Raw packet data"
"11","0.000500","N/A","N/A","N/A","42","Raw packet data"
"12","0.000535","N/A","N/A","N/A","42","Raw packet data"
"13","0.000554","N/A","N/A","N/A","42","Raw packet data"
"14","0.000716","N/A","N/A","N/A","42","Raw packet data"
"15","0.000748","Kristins-MacBook-Pro.local","iPhone.local","TCP","203","49172  >  63636 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=151 TSval=259372541 TSecr=1458787308"
"16","0.000871","iPhone.local","Kristins-MacBook-Pro.local","TCP","52","63636  >  49172 [ACK] Seq=1 Ack=152 Win=2045 Len=0 TSval=1458848306 TSecr=259372541"
"17","0.000894","iPhone.local","Kristins-MacBook-Pro.local","TCP","168","63636  >  49172 [PSH, ACK] Seq=1 Ack=152 Win=2048 Len=116 TSval=1458848308 TSecr=259372541"
"18","0.000911","Kristins-MacBook-Pro.local","iPhone.local","TCP","52","49172  >  63636 [ACK] Seq=152 Ack=117 Win=2046 Len=0 TSval=259372544 TSecr=1458848308"
"19","0.001231","N/A","N/A","N/A","42","Raw packet data"
"20","0.001259","N/A","N/A","N/A","42","Raw packet data"
"21","0.001278","N/A","N/A","N/A","42","Raw packet data"
"22","0.001472","N/A","N/A","N/A","42","Raw packet data"
"23","0.001529","N/A","N/A","N/A","42","Raw packet data"
"24","0.001549","N/A","N/A","N/A","42","Raw packet data"
"25","0.001566","N/A","N/A","N/A","42","Raw packet data"
"26","0.001583","N/A","N/A","N/A","42","Raw packet data"
"27","0.001599","N/A","N/A","N/A","42","Raw packet data"
"28","0.001615","N/A","N/A","N/A","42","Raw packet data"
"29","0.001631","N/A","N/A","N/A","42","Raw packet data"
"30","0.001647","N/A","N/A","N/A","42","Raw packet data"
"31","0.001663","N/A","N/A","N/A","42","Raw packet data"
"32","0.001679","N/A","N/A","N/A","42","Raw packet data"
"33","0.001694","N/A","N/A","N/A","42","Raw packet data"
"34","0.001741","N/A","N/A","N/A","42","Raw packet data"
"35","0.001780","N/A","N/A","N/A","42","Raw packet data"
"36","1.003242","N/A","N/A","N/A","42","Raw packet data"
"37","1.003274","N/A","N/A","N/A","42","Raw packet data"
"38","1.003292","N/A","N/A","N/A","42","Raw packet data"
"39","1.003308","N/A","N/A","N/A","42","Raw packet data"
"40","1.003325","N/A","N/A","N/A","42","Raw packet data"
"41","1.003342","N/A","N/A","N/A","42","Raw packet data"
"42","1.003361","N/A","N/A","N/A","42","Raw packet data"
"43","1.003431","N/A","N/A","N/A","42","Raw packet data"
"44","1.003451","N/A","N/A","N/A","42","Raw packet data"
"45","1.003465","N/A","N/A","N/A","42","Raw packet data"
"46","1.003498","N/A","N/A","N/A","42","Raw packet data"
"47","1.003514","N/A","N/A","N/A","42","Raw packet data"
"48","1.003530","N/A","N/A","N/A","42","Raw packet data"
"49","1.003551","N/A","N/A","N/A","42","Raw packet data"
"50","1.003566","N/A","N/A","N/A","42","Raw packet data"
"51","1.003579","N/A","N/A","N/A","42","Raw packet data"
"52","1.003598","N/A","N/A","N/A","42","Raw packet data"
"53","1.003613","N/A","N/A","N/A","42","Raw packet data"
"54","1.003627","N/A","N/A","N/A","42","Raw packet data"
"55","1.003643","N/A","N/A","N/A","42","Raw packet data"
"56","1.003658","N/A","N/A","N/A","42","Raw packet data"
"57","1.003674","N/A","N/A","N/A","42","Raw packet data"
"58","1.003688","N/A","N/A","N/A","42","Raw packet data"
"59","2.004868","0889d1da-08fe-454a-b55d-65784eed844c.local","ff02::fb","MDNS","461","Standard query response 0x0000 SRV, cache flush 0 0 64282 0889d1da-08fe-454a-b55d-65784eed844c.local AAAA, cache flush fe80::9074:b8ff:fec7:19e7 PTR, cache flush 0889d1da-08fe-454a-b55d-65784eed844c.local TXT, cache flush PTR _companion-link._tcp.local PTR CLink-a22234d19eaa._companion-link._tcp.local NSEC, cache flush CLink-a22234d19eaa._companion-link._tcp.local NSEC, cache flush 0889d1da-08fe-454a-b55d-65784eed844c.local NSEC, cache flush 7.E.9.1.7.C.E.F.F.F.8.B.4.7.0.9.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa"
"60","2.004930","N/A","N/A","N/A","42","Raw packet data"
"61","2.004966","N/A","N/A","N/A","42","Raw packet data"
"62","2.005081","N/A","N/A","N/A","42","Raw packet data"
