"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.000059","N/A","N/A","N/A","42","Raw packet data"
"3","0.000090","N/A","N/A","N/A","42","Raw packet data"
"4","0.000121","N/A","N/A","N/A","42","Raw packet data"
"5","0.000155","N/A","N/A","N/A","42","Raw packet data"
"6","0.000188","N/A","N/A","N/A","42","Raw packet data"
"7","0.000222","N/A","N/A","N/A","42","Raw packet data"
"8","0.000253","N/A","N/A","N/A","42","Raw packet data"
"9","0.000292","Kristins-MacBook-Pro.local","239.255.255.250","SSDP","202","M-SEARCH * HTTP/1.1 "
"10","0.000325","Kristins-MacBook-Pro.local","239.255.255.250","SSDP","197","M-SEARCH * HTTP/1.1 "
"11","0.000357","N/A","N/A","N/A","42","Raw packet data"
"12","0.000385","N/A","N/A","N/A","42","Raw packet data"
"13","0.000412","N/A","N/A","N/A","42","Raw packet data"
"14","0.000438","N/A","N/A","N/A","42","Raw packet data"
"15","0.000464","N/A","N/A","N/A","42","Raw packet data"
"16","0.000490","N/A","N/A","N/A","42","Raw packet data"
"17","0.000516","N/A","N/A","N/A","42","Raw packet data"
"18","0.000543","N/A","N/A","N/A","42","Raw packet data"
"19","1.002128","N/A","N/A","N/A","42","Raw packet data"
"20","1.002223","N/A","N/A","N/A","42","Raw packet data"
"21","1.002381","N/A","N/A","N/A","42","Raw packet data"
"22","1.002439","N/A","N/A","N/A","42","Raw packet data"
"23","1.002477","N/A","N/A","N/A","42","Raw packet data"
"24","1.002515","N/A","N/A","N/A","42","Raw packet data"
"25","1.002650","N/A","N/A","N/A","42","Raw packet data"
"26","1.002851","N/A","N/A","N/A","42","Raw packet data"
"27","1.002875","N/A","N/A","N/A","42","Raw packet data"
"28","1.002897","N/A","N/A","N/A","42","Raw packet data"
"29","1.002924","N/A","N/A","N/A","42","Raw packet data"
"30","1.003007","N/A","N/A","N/A","42","Raw packet data"
"31","1.003062","N/A","N/A","N/A","42","Raw packet data"
"32","1.003101","N/A","N/A","N/A","42","Raw packet data"
"33","1.003170","N/A","N/A","N/A","42","Raw packet data"
"34","1.003207","0.0.0.0","255.255.255.255","DHCP","328","DHCP Discover - Transaction ID 0xb47da104"
"35","1.003231","N/A","N/A","N/A","42","Raw packet data"
"36","1.003252","N/A","N/A","N/A","42","Raw packet data"
"37","1.003273","N/A","N/A","N/A","42","Raw packet data"
"38","1.003295","Kristins-MacBook-Pro.local","239.255.255.250","SSDP","202","M-SEARCH * HTTP/1.1 "
"39","1.003316","Kristins-MacBook-Pro.local","239.255.255.250","SSDP","197","M-SEARCH * HTTP/1.1 "
"40","1.003337","N/A","N/A","N/A","42","Raw packet data"
"41","1.003358","N/A","N/A","N/A","42","Raw packet data"
"42","1.003378","N/A","N/A","N/A","42","Raw packet data"
"43","1.003413","N/A","N/A","N/A","42","Raw packet data"
"44","1.003436","N/A","N/A","N/A","42","Raw packet data"
"45","1.003456","N/A","N/A","N/A","42","Raw packet data"
"46","1.003476","N/A","N/A","N/A","42","Raw packet data"
"47","1.003496","N/A","N/A","N/A","42","Raw packet data"
"48","1.003516","N/A","N/A","N/A","42","Raw packet data"
"49","1.003536","sccm01.ads.carleton.edu","iPhone.local","TCP","52","52326  >  epmap(135) [SYN, ECN, CWR] Seq=0 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"50","1.003558","iPhone.local","sccm01.ads.carleton.edu","TCP","40","epmap(135)  >  52326 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"51","2.004656","N/A","N/A","N/A","42","Raw packet data"
"52","2.004723","N/A","N/A","N/A","42","Raw packet data"
"53","2.004755","N/A","N/A","N/A","42","Raw packet data"
"54","2.004784","N/A","N/A","N/A","42","Raw packet data"
"55","2.004816","N/A","N/A","N/A","42","Raw packet data"
"56","2.004850","N/A","N/A","N/A","42","Raw packet data"
"57","2.004961","N/A","N/A","N/A","42","Raw packet data"
"58","2.005019","N/A","N/A","N/A","42","Raw packet data"
"59","2.005050","N/A","N/A","N/A","42","Raw packet data"
"60","2.005077","N/A","N/A","N/A","42","Raw packet data"
"61","2.005184","N/A","N/A","N/A","42","Raw packet data"
"62","2.005229","N/A","N/A","N/A","42","Raw packet data"
"63","2.005260","N/A","N/A","N/A","42","Raw packet data"
"64","2.005288","N/A","N/A","N/A","42","Raw packet data"
"65","2.005318","N/A","N/A","N/A","42","Raw packet data"
"66","2.005345","N/A","N/A","N/A","42","Raw packet data"
"67","2.005373","N/A","N/A","N/A","42","Raw packet data"
"68","2.005400","N/A","N/A","N/A","42","Raw packet data"
"69","2.005428","N/A","N/A","N/A","42","Raw packet data"
