"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.000025","N/A","N/A","N/A","42","Raw packet data"
"3","0.000042","N/A","N/A","N/A","42","Raw packet data"
"4","0.000059","N/A","N/A","N/A","42","Raw packet data"
"5","0.000076","N/A","N/A","N/A","42","Raw packet data"
"6","0.000092","N/A","N/A","N/A","42","Raw packet data"
"7","0.000108","N/A","N/A","N/A","42","Raw packet data"
"8","0.000124","N/A","N/A","N/A","42","Raw packet data"
"9","0.000140","N/A","N/A","N/A","42","Raw packet data"
"10","0.000156","N/A","N/A","N/A","42","Raw packet data"
"11","0.000172","N/A","N/A","N/A","42","Raw packet data"
"12","0.000241","N/A","N/A","N/A","42","Raw packet data"
"13","0.000274","N/A","N/A","N/A","42","Raw packet data"
"14","0.000293","N/A","N/A","N/A","42","Raw packet data"
"15","0.000311","N/A","N/A","N/A","42","Raw packet data"
"16","0.000328","N/A","N/A","N/A","42","Raw packet data"
"17","0.000343","N/A","N/A","N/A","46","Raw packet data"
"18","0.000359","N/A","N/A","N/A","42","Raw packet data"
"19","0.000375","N/A","N/A","N/A","42","Raw packet data"
"20","0.000390","N/A","N/A","N/A","42","Raw packet data"
"21","0.000407","N/A","N/A","N/A","42","Raw packet data"
"22","0.000516","N/A","N/A","N/A","42","Raw packet data"
"23","0.000534","N/A","N/A","N/A","42","Raw packet data"
"24","0.000550","N/A","N/A","N/A","42","Raw packet data"
"25","0.000826","N/A","N/A","N/A","42","Raw packet data"
"26","0.000844","N/A","N/A","N/A","42","Raw packet data"
"27","0.000860","N/A","N/A","N/A","42","Raw packet data"
"28","0.000875","N/A","N/A","N/A","42","Raw packet data"
"29","0.000891","N/A","N/A","N/A","42","Raw packet data"
"30","0.000906","N/A","N/A","N/A","42","Raw packet data"
"31","0.000922","N/A","N/A","N/A","42","Raw packet data"
"32","0.000937","N/A","N/A","N/A","42","Raw packet data"
"33","0.000953","N/A","N/A","N/A","42","Raw packet data"
"34","0.000969","N/A","N/A","N/A","42","Raw packet data"
"35","1.002010","N/A","N/A","N/A","42","Raw packet data"
"36","1.002064","N/A","N/A","N/A","42","Raw packet data"
"37","1.002093","N/A","N/A","N/A","42","Raw packet data"
"38","1.002198","N/A","N/A","N/A","42","Raw packet data"
"39","1.002432","sccm01.ads.carleton.edu","10.133.18.102","TCP","52","61408  >  epmap(135) [SYN, ECN, CWR] Seq=0 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"40","1.002534","10.133.18.102","sccm01.ads.carleton.edu","TCP","40","epmap(135)  >  61408 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"41","1.002577","169.254.241.120","224.0.0.251","MDNS","278","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Kristinâ\200\231s MacBook Pro (10)._companion-link._tcp.local OPT"
