"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.000037","N/A","N/A","N/A","42","Raw packet data"
"3","0.000058","N/A","N/A","N/A","42","Raw packet data"
"4","0.000078","N/A","N/A","N/A","42","Raw packet data"
"5","0.000101","N/A","N/A","N/A","42","Raw packet data"
"6","0.000124","N/A","N/A","N/A","42","Raw packet data"
"7","0.000153","N/A","N/A","N/A","42","Raw packet data"
"8","0.000174","N/A","N/A","N/A","42","Raw packet data"
"9","0.000200","iPhone.local","edge-mqtt-shv-01-msp1.facebook.com","TLSv1.2","236","Application Data"
"10","0.000224","edge-mqtt-shv-01-msp1.facebook.com","iPhone.local","TCP","46","https(443)  >  64255 [ACK] Seq=1 Ack=197 Win=278 Len=0"
"11","0.000245","N/A","N/A","N/A","42","Raw packet data"
"12","0.000265","N/A","N/A","N/A","42","Raw packet data"
"13","0.000286","N/A","N/A","N/A","42","Raw packet data"
"14","0.000305","N/A","N/A","N/A","42","Raw packet data"
"15","0.000327","edge-mqtt-shv-01-msp1.facebook.com","iPhone.local","TLSv1.2","257","Application Data"
"16","0.000351","iPhone.local","edge-mqtt-shv-01-msp1.facebook.com","TCP","40","64255  >  https(443) [ACK] Seq=197 Ack=218 Win=4092 Len=0"
"17","0.000371","N/A","N/A","N/A","42","Raw packet data"
"18","0.000391","N/A","N/A","N/A","42","Raw packet data"
"19","0.000419","N/A","N/A","N/A","42","Raw packet data"
"20","0.000453","iPhone.local","edge-mqtt-shv-01-msp1.facebook.com","TCP","40","[TCP Keep-Alive] 64255  >  https(443) [ACK] Seq=196 Ack=218 Win=4096 Len=0"
"21","0.000488","edge-mqtt-shv-01-msp1.facebook.com","iPhone.local","TCP","46","[TCP Keep-Alive ACK] https(443)  >  64255 [ACK] Seq=218 Ack=197 Win=278 Len=0"
"22","0.000528","N/A","N/A","N/A","42","Raw packet data"
"23","0.000614","N/A","N/A","N/A","42","Raw packet data"
"24","0.000665","N/A","N/A","N/A","42","Raw packet data"
"25","0.000703","N/A","N/A","N/A","42","Raw packet data"
"26","0.000739","N/A","N/A","N/A","42","Raw packet data"
"27","1.002124","N/A","N/A","N/A","42","Raw packet data"
"28","1.002174","N/A","N/A","N/A","42","Raw packet data"
"29","1.002206","N/A","N/A","N/A","42","Raw packet data"
"30","1.002234","N/A","N/A","N/A","42","Raw packet data"
"31","1.002261","N/A","N/A","N/A","42","Raw packet data"
"32","1.002289","N/A","N/A","N/A","42","Raw packet data"
"33","1.002317","N/A","N/A","N/A","42","Raw packet data"
"34","1.002343","N/A","N/A","N/A","42","Raw packet data"
"35","1.002370","N/A","N/A","N/A","42","Raw packet data"
"36","1.002397","N/A","N/A","N/A","42","Raw packet data"
"37","1.002423","N/A","N/A","N/A","42","Raw packet data"
"38","1.002450","N/A","N/A","N/A","42","Raw packet data"
