"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.000098","N/A","N/A","N/A","42","Raw packet data"
"3","0.000120","N/A","N/A","N/A","42","Raw packet data"
"4","0.000131","N/A","N/A","N/A","42","Raw packet data"
"5","0.000141","N/A","N/A","N/A","42","Raw packet data"
"6","0.000152","N/A","N/A","N/A","42","Raw packet data"
"7","0.000221","N/A","N/A","N/A","42","Raw packet data"
"8","0.000267","N/A","N/A","N/A","42","Raw packet data"
"9","0.000284","N/A","N/A","N/A","42","Raw packet data"
"10","0.000295","N/A","N/A","N/A","42","Raw packet data"
"11","0.000307","N/A","N/A","N/A","42","Raw packet data"
"12","0.000350","N/A","N/A","N/A","42","Raw packet data"
"13","0.000363","N/A","N/A","N/A","42","Raw packet data"
"14","0.000373","N/A","N/A","N/A","42","Raw packet data"
"15","0.000384","N/A","N/A","N/A","42","Raw packet data"
"16","0.000394","N/A","N/A","N/A","42","Raw packet data"
"17","0.000405","N/A","N/A","N/A","42","Raw packet data"
"18","0.000519","N/A","N/A","N/A","42","Raw packet data"
"19","0.000538","N/A","N/A","N/A","42","Raw packet data"
"20","0.000555","N/A","N/A","N/A","42","Raw packet data"
"21","0.000567","N/A","N/A","N/A","42","Raw packet data"
"22","0.000579","N/A","N/A","N/A","42","Raw packet data"
"23","0.000630","N/A","N/A","N/A","42","Raw packet data"
"24","0.000642","N/A","N/A","N/A","42","Raw packet data"
"25","0.000675","N/A","N/A","N/A","42","Raw packet data"
"26","0.000687","N/A","N/A","N/A","46","Raw packet data"
"27","0.000697","N/A","N/A","N/A","42","Raw packet data"
"28","0.000707","N/A","N/A","N/A","42","Raw packet data"
"29","0.000718","N/A","N/A","N/A","42","Raw packet data"
"30","0.000728","N/A","N/A","N/A","42","Raw packet data"
"31","0.000738","N/A","N/A","N/A","42","Raw packet data"
"32","0.000843","N/A","N/A","N/A","42","Raw packet data"
"33","1.002930","N/A","N/A","N/A","42","Raw packet data"
"34","1.003038","N/A","N/A","N/A","42","Raw packet data"
"35","1.003076","N/A","N/A","N/A","42","Raw packet data"
"36","1.003105","N/A","N/A","N/A","42","Raw packet data"
"37","1.003132","N/A","N/A","N/A","42","Raw packet data"
"38","1.003162","N/A","N/A","N/A","42","Raw packet data"
"39","1.003190","N/A","N/A","N/A","42","Raw packet data"
"40","1.003217","N/A","N/A","N/A","42","Raw packet data"
"41","1.003313","N/A","N/A","N/A","42","Raw packet data"
"42","1.003395","N/A","N/A","N/A","42","Raw packet data"
"43","1.003632","N/A","N/A","N/A","42","Raw packet data"
"44","1.003690","N/A","N/A","N/A","42","Raw packet data"
"45","1.003739","N/A","N/A","N/A","42","Raw packet data"
"46","1.003787","N/A","N/A","N/A","42","Raw packet data"
"47","1.003887","N/A","N/A","N/A","42","Raw packet data"
"48","1.003967","N/A","N/A","N/A","42","Raw packet data"
"49","1.004050","N/A","N/A","N/A","42","Raw packet data"
"50","1.004089","N/A","N/A","N/A","42","Raw packet data"
"51","1.004118","N/A","N/A","N/A","42","Raw packet data"
"52","1.004240","N/A","N/A","N/A","42","Raw packet data"
"53","1.004394","N/A","N/A","N/A","42","Raw packet data"
"54","1.004453","N/A","N/A","N/A","42","Raw packet data"
"55","1.004505","N/A","N/A","N/A","42","Raw packet data"
"56","2.004751","N/A","N/A","N/A","42","Raw packet data"
"57","2.004808","N/A","N/A","N/A","42","Raw packet data"
"58","2.004838","N/A","N/A","N/A","42","Raw packet data"
"59","2.004867","N/A","N/A","N/A","42","Raw packet data"
"60","2.004896","N/A","N/A","N/A","42","Raw packet data"
"61","2.004941","N/A","N/A","N/A","42","Raw packet data"
"62","2.004973","N/A","N/A","N/A","42","Raw packet data"
"63","2.005007","N/A","N/A","N/A","42","Raw packet data"
"64","2.005039","N/A","N/A","N/A","42","Raw packet data"
"65","2.005068","N/A","N/A","N/A","42","Raw packet data"
"66","2.005095","N/A","N/A","N/A","42","Raw packet data"
"67","2.005144","N/A","N/A","N/A","42","Raw packet data"
"68","2.005304","N/A","N/A","N/A","42","Raw packet data"
"69","2.005352","N/A","N/A","N/A","42","Raw packet data"
"70","2.005381","N/A","N/A","N/A","42","Raw packet data"
"71","2.005407","N/A","N/A","N/A","42","Raw packet data"
"72","2.005435","N/A","N/A","N/A","42","Raw packet data"
"73","2.005462","N/A","N/A","N/A","42","Raw packet data"
"74","2.005488","N/A","N/A","N/A","42","Raw packet data"
"75","2.005514","N/A","N/A","N/A","42","Raw packet data"
"76","2.005541","N/A","N/A","N/A","42","Raw packet data"
"77","2.005568","N/A","N/A","N/A","42","Raw packet data"
"78","2.005594","N/A","N/A","N/A","42","Raw packet data"
"79","2.005621","N/A","N/A","N/A","42","Raw packet data"
"80","3.006865","N/A","N/A","N/A","42","Raw packet data"
"81","3.006963","N/A","N/A","N/A","42","Raw packet data"
"82","3.007092","N/A","N/A","N/A","42","Raw packet data"
"83","3.007121","N/A","N/A","N/A","42","Raw packet data"
"84","3.007152","N/A","N/A","N/A","42","Raw packet data"
"85","3.007178","N/A","N/A","N/A","42","Raw packet data"
"86","3.007264","N/A","N/A","N/A","42","Raw packet data"
"87","3.007392","N/A","N/A","N/A","42","Raw packet data"
"88","3.007433","N/A","N/A","N/A","42","Raw packet data"
"89","3.007464","N/A","N/A","N/A","42","Raw packet data"
"90","3.007492","N/A","N/A","N/A","42","Raw packet data"
"91","3.007521","N/A","N/A","N/A","42","Raw packet data"
"92","3.007547","N/A","N/A","N/A","42","Raw packet data"
"93","3.007584","N/A","N/A","N/A","42","Raw packet data"
"94","3.007611","N/A","N/A","N/A","42","Raw packet data"
"95","3.007638","N/A","N/A","N/A","42","Raw packet data"
"96","3.007665","N/A","N/A","N/A","42","Raw packet data"
"97","3.007691","N/A","N/A","N/A","42","Raw packet data"
"98","3.007717","N/A","N/A","N/A","42","Raw packet data"
