"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","qrttxzy.local","star.c10r.facebook.com","TCP","40","64729  >  https(443) [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"2","0.000025","star.c10r.facebook.com","qrttxzy.local","TCP","46","[TCP ACKed unseen segment] https(443)  >  64729 [ACK] Seq=1 Ack=2 Win=479 Len=0"
"3","0.000043","qrttxzy.local","17.57.144.138","TLSv1.2","80","Application Data"
"4","0.000059","N/A","N/A","N/A","42","Raw packet data"
"5","0.000100","N/A","N/A","N/A","42","Raw packet data"
"6","0.000147","N/A","N/A","N/A","498","Raw packet data"
"7","0.000168","N/A","N/A","N/A","498","Raw packet data"
"8","0.000186","N/A","N/A","N/A","498","Raw packet data"
"9","0.000203","N/A","N/A","N/A","498","Raw packet data"
"10","0.000220","N/A","N/A","N/A","498","Raw packet data"
"11","0.000237","N/A","N/A","N/A","498","Raw packet data"
"12","0.000283","N/A","N/A","N/A","498","Raw packet data"
"13","0.000326","N/A","N/A","N/A","498","Raw packet data"
"14","0.000345","17.57.144.138","qrttxzy.local","TCP","46","hpvirtgrp(5223)  >  52561 [ACK] Seq=1 Ack=41 Win=501 Len=0"
"15","0.000360","17.57.144.138","qrttxzy.local","TLSv1.2","64","Application Data"
"16","0.000379","qrttxzy.local","17.57.144.138","TCP","40","52561  >  hpvirtgrp(5223) [ACK] Seq=41 Ack=25 Win=4095 Len=0"
"17","0.000394","qrttxzy.local","msgr-latest.c10r.facebook.com","TCP","40","64730  >  https(443) [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"18","0.000409","msgr-latest.c10r.facebook.com","qrttxzy.local","TCP","46","[TCP ACKed unseen segment] https(443)  >  64730 [ACK] Seq=1 Ack=2 Win=336 Len=0"
"19","0.000438","N/A","N/A","N/A","42","Raw packet data"
"20","0.000468","N/A","N/A","N/A","42","Raw packet data"
"21","0.000519","N/A","N/A","N/A","42","Raw packet data"
"22","0.000535","N/A","N/A","N/A","42","Raw packet data"
"23","0.000550","N/A","N/A","N/A","42","Raw packet data"
"24","0.000564","N/A","N/A","N/A","42","Raw packet data"
"25","0.000578","N/A","N/A","N/A","42","Raw packet data"
"26","0.000596","N/A","N/A","N/A","42","Raw packet data"
"27","0.000678","N/A","N/A","N/A","42","Raw packet data"
"28","0.000696","N/A","N/A","N/A","42","Raw packet data"
"29","0.000711","N/A","N/A","N/A","42","Raw packet data"
"30","0.000725","N/A","N/A","N/A","42","Raw packet data"
"31","0.000825","N/A","N/A","N/A","42","Raw packet data"
"32","0.000845","qrttxzy.local","17.57.144.138","TCP","40","[TCP Keep-Alive] 52561  >  hpvirtgrp(5223) [ACK] Seq=40 Ack=25 Win=4096 Len=0"
"33","0.000860","17.57.144.138","qrttxzy.local","TCP","46","[TCP Keep-Alive ACK] hpvirtgrp(5223)  >  52561 [ACK] Seq=25 Ack=41 Win=501 Len=0"
"34","0.000874","N/A","N/A","N/A","42","Raw packet data"
"35","0.000962","N/A","N/A","N/A","42","Raw packet data"
"36","0.000977","N/A","N/A","N/A","42","Raw packet data"
"37","0.000995","N/A","N/A","N/A","42","Raw packet data"
"38","1.002531","N/A","N/A","N/A","42","Raw packet data"
"39","1.002560","N/A","N/A","N/A","42","Raw packet data"
"40","1.002575","N/A","N/A","N/A","42","Raw packet data"
"41","1.002590","N/A","N/A","N/A","42","Raw packet data"
"42","1.002605","N/A","N/A","N/A","42","Raw packet data"
"43","1.002619","N/A","N/A","N/A","42","Raw packet data"
"44","1.002633","N/A","N/A","N/A","42","Raw packet data"
"45","1.002647","N/A","N/A","N/A","42","Raw packet data"
"46","1.002661","N/A","N/A","N/A","42","Raw packet data"
"47","1.002675","N/A","N/A","N/A","42","Raw packet data"
"48","1.002689","N/A","N/A","N/A","42","Raw packet data"
"49","1.002703","N/A","N/A","N/A","42","Raw packet data"
"50","1.002717","N/A","N/A","N/A","42","Raw packet data"
"51","1.002731","N/A","N/A","N/A","42","Raw packet data"
"52","2.004336","N/A","N/A","N/A","498","Raw packet data"
"53","2.004370","N/A","N/A","N/A","498","Raw packet data"
"54","2.004389","N/A","N/A","N/A","498","Raw packet data"
"55","2.004407","N/A","N/A","N/A","42","Raw packet data"
"56","2.004425","N/A","N/A","N/A","498","Raw packet data"
"57","2.004442","N/A","N/A","N/A","498","Raw packet data"
"58","2.004597","N/A","N/A","N/A","498","Raw packet data"
"59","2.004621","N/A","N/A","N/A","498","Raw packet data"
"60","2.004638","N/A","N/A","N/A","498","Raw packet data"
"61","2.004655","N/A","N/A","N/A","498","Raw packet data"
"62","2.004672","N/A","N/A","N/A","498","Raw packet data"
"63","2.004689","N/A","N/A","N/A","42","Raw packet data"
"64","2.004705","N/A","N/A","N/A","42","Raw packet data"
"65","2.004721","N/A","N/A","N/A","42","Raw packet data"
"66","2.004737","N/A","N/A","N/A","42","Raw packet data"
"67","2.004752","N/A","N/A","N/A","42","Raw packet data"
"68","2.004767","N/A","N/A","N/A","42","Raw packet data"
"69","2.004783","N/A","N/A","N/A","42","Raw packet data"
"70","2.004798","N/A","N/A","N/A","42","Raw packet data"
"71","2.004814","N/A","N/A","N/A","42","Raw packet data"
"72","2.004830","N/A","N/A","N/A","42","Raw packet data"
"73","2.004846","N/A","N/A","N/A","42","Raw packet data"
"74","2.004950","N/A","N/A","N/A","42","Raw packet data"
"75","2.004967","N/A","N/A","N/A","42","Raw packet data"
"76","2.004983","N/A","N/A","N/A","42","Raw packet data"
"77","2.004998","N/A","N/A","N/A","42","Raw packet data"
"78","2.005014","N/A","N/A","N/A","42","Raw packet data"
"79","2.005030","N/A","N/A","N/A","42","Raw packet data"
"80","3.006472","N/A","N/A","N/A","498","Raw packet data"
"81","3.006507","N/A","N/A","N/A","498","Raw packet data"
"82","3.006526","N/A","N/A","N/A","498","Raw packet data"
"83","3.006544","N/A","N/A","N/A","498","Raw packet data"
"84","3.006616","N/A","N/A","N/A","498","Raw packet data"
"85","3.006636","N/A","N/A","N/A","498","Raw packet data"
"86","3.006656","N/A","N/A","N/A","498","Raw packet data"
"87","3.006673","N/A","N/A","N/A","498","Raw packet data"
"88","3.006692","N/A","N/A","N/A","42","Raw packet data"
"89","3.006718","N/A","N/A","N/A","42","Raw packet data"
"90","3.006737","0.0.0.0","255.255.255.255","DHCP","328","DHCP Discover - Transaction ID 0x5bee0e36"
"91","3.006754","N/A","N/A","N/A","42","Raw packet data"
"92","3.006770","N/A","N/A","N/A","42","Raw packet data"
"93","3.006786","N/A","N/A","N/A","42","Raw packet data"
"94","3.006917","N/A","N/A","N/A","42","Raw packet data"
